source1,source2,count
fairfieldcitizenonline.com,sfgate.com,664
chieftain.com,wsoctv.com,664
actionnewsjax.com,nzherald.co.nz,664
greensboro.com,tampabay.com,664
chron.com,fox13memphis.com,663
bozemandailychronicle.com,yahoo.com,662
therepublic.com,wfmz.com,662
fox13memphis.com,nzherald.co.nz,661
fox30jax.com,wacotrib.com,661
chieftain.com,wsbtv.com,661
dailymail.co.uk,foxnews.com,660
nzherald.co.nz,seattletimes.com,660
chron.com,fox30jax.com,659
actionnewsjax.com,chron.com,659
washingtonpost.com,wsbtv.com,659
nzherald.co.nz,wpxi.com,658
startribune.com,tucson.com,657
seattlepi.com,wfmz.com,657
chieftain.com,fox23.com,656
washingtonpost.com,wsoctv.com,656
chieftain.com,heraldmailmedia.com,656
princegeorgecitizen.com,tampabay.com,656
greensboro.com,wpxi.com,655
stamfordadvocate.com,yahoo.com,655
fox23.com,washingtonpost.com,655
greenwichtime.com,wfmz.com,655
greensboro.com,mdjonline.com,655
kiro7.com,wacotrib.com,654
chieftain.com,wpxi.com,654
greensboro.com,therepublic.com,654
startribune.com,yahoo.com,651
actionnewsjax.com,wacotrib.com,651
actionnewsjax.com,greensboro.com,651
registercitizen.com,yahoo.com,651
chron.com,wftv.com,651
msn.com,washingtonpost.com,651
bakersfield.com,thedailytimes.com,650
accesswdun.com,tampabay.com,648
seattlepi.com,yahoo.com,648
greensboro.com,kiro7.com,647
indiatimes.com,yahoo.com,647
ksl.com,startribune.com,647
kiro7.com,nzherald.co.nz,646
greensboro.com,pressofatlanticcity.com,646
seattletimes.com,washingtonpost.com,646
mychamplainvalley.com,yahoo.com,645
godanriver.com,greensboro.com,645
stamfordadvocate.com,wfmz.com,645
missoulian.com,wacotrib.com,645
tampabay.com,washingtonpost.com,645
chieftain.com,fox13memphis.com,645
chieftain.com,wbal.com,644
mynorthwest.com,wacotrib.com,644
ksl.com,therepublic.com,643
onenewsnow.com,yahoo.com,643
fox30jax.com,nzherald.co.nz,642
chron.com,kiro7.com,642
chron.com,tampabay.com,642
greensboro.com,qconline.com,642
mytwintiers.com,yahoo.com,642
readingeagle.com,yahoo.com,641
bozemandailychronicle.com,greensboro.com,641
princegeorgecitizen.com,vancouversun.com,640
ghanavisions.com,ghanaweb.com,640
