source1,source2,count
greensboro.com,nbcnews.com,223
couriermail.com.au,dailymail.co.uk,223
dailymail.co.uk,mynorthwest.com,222
reuters.com,stamfordadvocate.com,222
reuters.com,tribunnews.com,219
foxnews.com,greenwichtime.com,218
fredericksburg.com,mysanantonio.com,218
cbslocal.com,mynorthwest.com,217
businessinsider.com,stamfordadvocate.com,216
beaumontenterprise.com,dailymail.co.uk,216
businessinsider.com,wsoctv.com,215
lmtonline.com,nzherald.co.nz,215
chieftain.com,lmtonline.com,215
foxnews.com,greensboro.com,214
dailymail.co.uk,seattlepi.com,213
businessinsider.com,indiatimes.com,210
nbcnews.com,wsoctv.com,209
ksl.com,wafa.ps,208
startribune.com,wafa.ps,208
indiatimes.com,tucson.com,208
greensboro.com,wafa.ps,208
nzherald.co.nz,wafa.ps,208
mynorthwest.com,wafa.ps,208
wafa.ps,washingtonpost.com,208
iheart.com,ksl.com,207
business-standard.com,wfmz.com,207
fredericksburg.com,lmtonline.com,206
indiatimes.com,tampabay.com,206
foxnews.com,thehour.com,205
indiatimes.com,seattlepi.com,204
businessinsider.com,chron.com,202
cbc.ca,iheart.com,202
businessinsider.com,middletownpress.com,201
foxnews.com,nzherald.co.nz,201
beaumontenterprise.com,cbslocal.com,201
nbcnews.com,nzherald.co.nz,200
iheart.com,lmtonline.com,200
businessinsider.com,registercitizen.com,200
lmtonline.com,tampabay.com,199
sputniknews.com,wafa.ps,198
lmtonline.com,msn.com,197
nbcnews.com,wacotrib.com,194
lmtonline.com,wsoctv.com,193
iheart.com,xinhuanet.com,193
msn.com,nytimes.com,193
business-standard.com,dailymail.co.uk,192
reuters.com,ziarelive.ro,192
businessinsider.com,dailymail.co.uk,191
reuters.com,seattlepi.com,191
businessinsider.com,nhregister.com,189
foxnews.com,wacotrib.com,188
business-standard.com,dawn.com,188
businessinsider.com,wacotrib.com,186
foxnews.com,nhregister.com,184
reuters.com,startribune.com,184
english.wafa.ps,sputniknews.com,184
dw.com,reuters.com,182
chieftain.com,nbcnews.com,179
msn.com,tribunnews.com,179
mynorthwest.com,reuters.com,179
business-standard.com,gwdtoday.com,178
foxnews.com,wfmz.com,177
dailymail.co.uk,lmtonline.com,177
foxnews.com,wsoctv.com,177
businessinsider.com,tampabay.com,175
beaumontenterprise.com,indiatimes.com,175
gwdtoday.com,nhregister.com,175
businessinsider.com,gwdtoday.com,174
nbcnews.com,newstimes.com,173
business-standard.com,nbcnews.com,170
cbslocal.com,foxnews.com,170
chieftain.com,foxnews.com,168
business-standard.com,greensboro.com,168
beaumontenterprise.com,reuters.com,167
france24.com,wafa.ps,166
cbslocal.com,mysanantonio.com,164
foxnews.com,ksl.com,164
nbcnews.com,registercitizen.com,163
business-standard.com,chron.com,163
foxnews.com,stamfordadvocate.com,162
business-standard.com,washingtonpost.com,162
indiatimes.com,mysanantonio.com,162
business-standard.com,tampabay.com,162
reuters.com,sputniknews.com,161
reuters.com,wafa.ps,160
fredericksburg.com,reuters.com,160
nbcnews.com,nhregister.com,158
greenwichtime.com,nbcnews.com,157
business-standard.com,nzherald.co.nz,157
foxnews.com,newstimes.com,157
nbcnews.com,thehour.com,156
foxnews.com,iheart.com,155
nbcnews.com,tampabay.com,155
ctpost.com,nbcnews.com,155
businessinsider.com,cbslocal.com,154
businessinsider.com,washingtonpost.com,153
businessinsider.com,nzherald.co.nz,152
indiatimes.com,tribunnews.com,151
ksl.com,nbcnews.com,151
businessinsider.com,chieftain.com,150
nbcnews.com,stamfordadvocate.com,150
iheart.com,tribunnews.com,149
businessinsider.com,sfgate.com,149
businessinsider.com,channelnewsasia.com,149
businessinsider.com,ksl.com,147
iheart.com,wsoctv.com,146
nbcnews.com,seattlepi.com,146
business-standard.com,sfgate.com,145
foxnews.com,tampabay.com,145
france24.com,indiatimes.com,143
businessinsider.com,tucson.com,142
ctpost.com,foxnews.com,142
dawn.com,yahoo.com,141
channelnewsasia.com,indiatimes.com,140
foxnews.com,registercitizen.com,140
chieftain.com,iheart.com,139
channelnewsasia.com,dailymail.co.uk,139
iheart.com,wacotrib.com,139
business-standard.com,wsoctv.com,137
middletownpress.com,nbcnews.com,134
business-standard.com,foxnews.com,134
nbcnews.com,tucson.com,132
dw.com,iheart.com,132
dailymail.co.uk,nt.am,128
dawn.com,msn.com,128
english.wafa.ps,france24.com,128
msn.com,sputniknews.com,128
dailymail.co.uk,fredericksburg.com,127
nytimes.com,sfgate.com,126
lmtonline.com,reuters.com,126
couriermail.com.au,yahoo.com,125
nbcnews.com,startribune.com,125
sputniknews.com,yahoo.com,125
indiatimes.com,nbcnews.com,125
foxnews.com,startribune.com,124
businessinsider.com,startribune.com,124
foxnews.com,tucson.com,123
business-standard.com,nhregister.com,122
business-standard.com,chieftain.com,120
business-standard.com,businessinsider.com,120
business-standard.com,tucson.com,120
cbc.ca,reuters.com,120
cbslocal.com,nbcnews.com,119
business-standard.com,registercitizen.com,118
dailymail.co.uk,nytimes.com,118
gwdtoday.com,tribunnews.com,118
gwdtoday.com,newstimes.com,117
ctpost.com,gwdtoday.com,117
foxnews.com,middletownpress.com,117
gwdtoday.com,washingtonpost.com,116
gwdtoday.com,thehour.com,116
gwdtoday.com,middletownpress.com,116
gwdtoday.com,stamfordadvocate.com,116
business-standard.com,wacotrib.com,116
gwdtoday.com,registercitizen.com,116
greenwichtime.com,gwdtoday.com,116
gwdtoday.com,wfmz.com,116
businessinsider.com,foxnews.com,114
indiatimes.com,ziarelive.ro,114
businessinsider.com,english.wafa.ps,114
businessinsider.com,mynorthwest.com,112
foxnews.com,mysanantonio.com,112
chron.com,nytimes.com,112
business-standard.com,cbslocal.com,112
foxnews.com,indiatimes.com,112
foxnews.com,seattlepi.com,111
france24.com,reuters.com,111
businessinsider.com,seattlepi.com,110
dw.com,yahoo.com,110
business-standard.com,ksl.com,109
channelnewsasia.com,nytimes.com,109
business-standard.com,ziarelive.ro,109
business-standard.com,channelnewsasia.com,108
businessinsider.com,nbcnews.com,108
mysanantonio.com,nbcnews.com,108
nytimes.com,washingtonpost.com,107
business-standard.com,ctpost.com,106
business-standard.com,middletownpress.com,106
msn.com,zazoom.it,106
greenwichtime.com,iheart.com,105
indiatimes.com,zazoom.it,105
business-standard.com,seattlepi.com,102
dailymail.co.uk,zazoom.it,101
iheart.com,thehour.com,101
iheart.com,middletownpress.com,101
iheart.com,stamfordadvocate.com,101
tribunnews.com,ziarelive.ro,100
iheart.com,ziarelive.ro,100
businessinsider.com,mysanantonio.com,100
yahoo.com,zazoom.it,100
business-standard.com,mynorthwest.com,100
mysanantonio.com,reuters.com,100
yahoo.com,ziarelive.ro,99
mynorthwest.com,nbcnews.com,98
cbc.ca,wfmz.com,98
cbslocal.com,lmtonline.com,97
ghanaweb.com,iheart.com,97
iheart.com,newstimes.com,96
business-standard.com,france24.com,95
dailymail.co.uk,dawn.com,95
business-standard.com,thehour.com,95
business-standard.com,newstimes.com,94
iheart.com,nhregister.com,93
iheart.com,registercitizen.com,93
dailymail.co.uk,tribunnews.com,93
beaumontenterprise.com,nbcnews.com,92
couriermail.com.au,msn.com,92
msn.com,ziarelive.ro,92
dailymail.co.uk,ziarelive.ro,91
cbc.ca,nzherald.co.nz,89
beaumontenterprise.com,foxnews.com,88
tribunnews.com,yahoo.com,88
tribunnews.com,zazoom.it,86
fredericksburg.com,nbcnews.com,86
nytimes.com,startribune.com,85
cbc.ca,dailymail.co.uk,84
msn.com,time.mk,84
dawn.com,reuters.com,84
business-standard.com,tribunnews.com,84
nytimes.com,nzherald.co.nz,83
cbc.ca,tucson.com,83
businessinsider.com,wafa.ps,82
beaumontenterprise.com,businessinsider.com,82
business-standard.com,greenwichtime.com,82
business-standard.com,stamfordadvocate.com,82
beaumontenterprise.com,business-standard.com,80
foxnews.com,fredericksburg.com,79
msn.com,xinhuanet.com,78
dailymail.co.uk,sputniknews.com,77
cbc.ca,fredericksburg.com,76
business-standard.com,fredericksburg.com,75
business-standard.com,startribune.com,74
lmtonline.com,nbcnews.com,73
chron.com,english.wafa.ps,73
english.wafa.ps,tampabay.com,73
