GLOBALEVENTID,MentionSourceName,f0_
791156734,mr7.ru,1
791207717,mr7.ru,1
791207482,mr7.ru,1
791207714,mr7.ru,1
791207722,mr7.ru,1
791207483,mr7.ru,1
791207723,mr7.ru,1
791207710,mr7.ru,1
791207709,mr7.ru,1
791164378,mr7.ru,1
791081533,mtv.fi,1
791213674,mtv.fi,1
791213675,mtv.fi,1
791210259,net.hr,1
791213170,nhs.hr,1
791213176,nhs.hr,1
791207746,nrc.nl,1
791206789,nrc.nl,1
791207618,nrc.nl,1
791207213,nrc.nl,1
791207730,ntv.ru,1
791207769,ots.at,1
791207496,ots.at,1
791206881,ots.at,1
791206773,ots.at,1
791206882,ots.at,1
791207767,ots.at,1
791206878,ots.at,1
791207760,ots.at,1
791207765,ots.at,1
791085544,ots.at,1
791207161,ots.at,1
791207766,ots.at,1
791173162,otz.de,1
791173509,otz.de,1
791173507,otz.de,1
791173511,otz.de,1
791173150,otz.de,1
791173508,otz.de,1
791172616,otz.de,1
791172615,otz.de,1
791141523,pap.pl,1
791089281,pap.pl,1
791207145,pap.pl,1
791207645,pap.pl,1
791207649,pap.pl,1
791207646,pap.pl,1
791173150,pnp.de,1
791173508,pnp.de,1
791173507,pnp.de,1
791173511,pnp.de,1
791172615,pnp.de,1
791172616,pnp.de,1
791173509,pnp.de,1
791086753,pnp.de,1
791173162,pnp.de,1
791213989,pnp.ru,1
791115713,pnp.ru,1
791213585,pnp.ru,1
791161516,pnp.ru,1
791187713,pnp.ru,1
791081738,pnp.ru,1
791125911,pnp.ru,1
791156269,pnp.ru,1
791177893,pnp.ru,1
791178474,pnp.ru,1
791090456,pnp.ru,1
791135235,pnp.ru,1
791214112,pnp.ru,1
791085896,pnp.ru,1
791156282,pnp.ru,1
791213875,pnp.ru,1
791166252,pnp.ru,1
791090750,pnp.ru,1
791213542,pnp.ru,1
791213010,pnp.ru,1
791084769,qz.com,1
791208653,qz.com,1
791084054,qz.com,1
791146884,qz.com,1
791168622,qz.com,1
791209622,qz.com,1
791088210,qz.com,1
791210401,r7.com,1
791210920,r7.com,1
791090997,rbc.ru,1
791213959,rbc.ru,1
791196643,rbc.ru,1
791213467,rbc.ru,1
791203915,rbc.ru,1
791213962,rbc.ru,1
791090804,rbc.ru,1
791213468,rcf.fr,1
791084140,rcf.fr,1
791171088,rfi.fr,1
791178301,rfi.fr,1
791175262,rfi.fr,1
791176007,rfi.fr,1
791178302,rfi.fr,1
791172168,rfi.fr,1
791175467,rfi.fr,1
791148510,ria.ru,1
791207790,ria.ru,1
791214094,ria.ru,1
791210263,ria.ru,1
791210264,ria.ru,1
791213221,ria.ru,1
791214093,ria.ru,1
791110058,ria.ru,1
791194379,ria.ru,1
791178846,ria.ru,1
791085118,ria.ru,1
791099200,ria.ru,1
791191407,ria.ru,1
791212942,ria.ru,1
791210013,ria.ru,1
791214095,ria.ru,1
791214106,ria.ru,1
791213228,ria.ru,1
791210868,ria.ru,1
791188009,ria.ru,1
791200509,ria.ru,1
791214105,ria.ru,1
791093047,ria.ru,1
791098041,ria.ru,1
791093564,ria.ru,1
791213226,ria.ru,1
791153586,ria.ru,1
791213223,ria.ru,1
791136852,ria.ru,1
791209713,rt.com,1
791209712,rt.com,1
791209711,rt.com,1
791209716,rt.com,1
791209717,rt.com,1
791209714,rt.com,1
791100873,rt.com,1
791209259,rt.com,1
791209715,rt.com,1
791205079,rte.ie,1
791109021,rte.ie,1
791147731,rte.ie,1
791170177,rtl.be,1
791199672,rtl.be,1
791210443,rtl.be,1
791143037,rtl.be,1
791199669,rtl.be,1
791104481,rtl.be,1
791199668,rtl.be,1
791199671,rtl.be,1
791125633,rtl.be,1
791199670,rtl.be,1
791085479,rtl.be,1
791193596,rtl.de,1
791197180,rtl.de,1
791207312,rtl.de,1
791197187,rtl.de,1
791207732,rtl.de,1
791081523,rtl.de,1
791206869,rtl.de,1
791206941,rtl.de,1
791207332,rtl.de,1
791207758,rtl.fr,1
791207689,rtl.fr,1
791201019,rtl.fr,1
791207167,rtl.fr,1
791207354,rtl.hr,1
791207400,ruv.is,1
791207399,ruv.is,1
791210712,spc.rs,1
791210723,spc.rs,1
791209836,spc.rs,1
791210721,spc.rs,1
791210708,spc.rs,1
791210722,spc.rs,1
791210724,spc.rs,1
791210709,spc.rs,1
791210933,spc.rs,1
791210320,spc.rs,1
791210794,spc.rs,1
791210725,spc.rs,1
791210559,spc.rs,1
791210008,spc.rs,1
791210537,spc.rs,1
791178019,srf.ch,1
791178904,srf.ch,1
791177559,srf.ch,1
791207815,srf.ch,1
791210162,svt.se,1
791210571,svt.se,1
791210806,svt.se,1
791123299,t-l.ru,1
791123134,t-l.ru,1
791146273,t-l.ru,1
791082135,t13.cl,1
791168060,tdg.ch,1
791085159,tdg.ch,1
791213631,tdg.ch,1
791104179,tdg.ch,1
791085493,tdg.ch,1
791210511,tdg.ch,1
791210506,tdg.ch,1
791213734,tdg.ch,1
791158403,tdg.ch,1
791175467,tdg.ch,1
791158406,tdg.ch,1
791171305,tdg.ch,1
791197232,tdg.ch,1
791172747,tdg.ch,1
791197237,tdg.ch,1
791184988,tdg.ch,1
791210918,tdg.ch,1
791184638,tdg.ch,1
791210507,tdg.ch,1
791210510,tdg.ch,1
791209793,tdg.ch,1
791172901,tdg.ch,1
791207553,tdg.ch,1
791210812,tdg.ch,1
791175470,tdg.ch,1
791172900,tdg.ch,1
791170762,tdg.ch,1
791209790,tdg.ch,1
791083692,tpi.it,1
791172168,tt.com,1
791210459,tt.com,1
791196612,tt.com,1
791188230,tt.com,1
791176006,tt.com,1
791095657,tt.com,1
791210460,tt.com,1
791187849,tt.com,1
791207590,tt.com,1
791131415,tt.com,1
791210809,tt.com,1
791207589,tt.com,1
791210153,tt.com,1
791188217,tt.com,1
791081995,u-f.ru,1
791207707,u-f.ru,1
791207016,u-f.ru,1
791213062,vol.at,1
791213107,vol.at,1
791213047,vol.at,1
791213061,vol.at,1
791213048,vol.at,1
791107668,vol.at,1
791212959,vol.at,1
791210317,wam.ae,1
791209743,wam.ae,1
791128083,wam.ae,1
791210032,wam.ae,1
791210293,wam.ae,1
791159284,wam.ae,1
791111668,wam.ae,1
791209970,wam.ae,1
791209894,wam.ae,1
791149111,wam.ae,1
791182108,wam.ae,1
791209801,wam.ae,1
791149274,wam.ae,1
791212988,wek.ru,1
