Source,Target,count
nzherald.co.nz,sfgate.com,28
dailyprogress.com,whig.com,28
ksl.com,whig.com,28
greenwichtime.com,newstimes.com,27
apnews.com,globalnews.ca,27
standard-journal.com,theindependent.com,27
greenwichtime.com,thehour.com,27
lufkindailynews.com,mdjonline.com,27
ksl.com,news12.com,27
lufkindailynews.com,standard-journal.com,27
globalnews.ca,mb.com.ph,27
princegeorgecitizen.com,theindependent.com,27
channelnewsasia.com,yahoo.com,27
fox23.com,ksl.com,27
greenwichtime.com,lmtonline.com,27
mdjonline.com,theindependent.com,27
princegeorgecitizen.com,standard-journal.com,27
globalnews.ca,wthr.com,27
lufkindailynews.com,theindependent.com,27
lufkindailynews.com,princegeorgecitizen.com,27
registercitizen.com,sfgate.com,26
reporternews.com,usatoday.com,26
gosanangelo.com,reporternews.com,26
globalnews.ca,koin.com,26
newstimes.com,sfgate.com,26
beaumontenterprise.com,thehour.com,26
gosanangelo.com,usatoday.com,26
ktvq.com,wtkr.com,26
sfgate.com,thehour.com,26
reporternews.com,thegleaner.com,26
beaumontenterprise.com,nhregister.com,26
kxlf.com,wtkr.com,26
htrnews.com,thegleaner.com,26
htrnews.com,reporternews.com,26
thegleaner.com,usatoday.com,26
chron.com,greenwichtime.com,26
beaumontenterprise.com,chron.com,26
nhregister.com,sfgate.com,26
gosanangelo.com,thegleaner.com,26
bozemandailychronicle.com,standard-journal.com,26
beaumontenterprise.com,newstimes.com,26
gosanangelo.com,htrnews.com,26
beaumontenterprise.com,greenwichtime.com,26
htrnews.com,usatoday.com,26
greenwichtime.com,sfgate.com,26
lmtonline.com,sfgate.com,26
bozemandailychronicle.com,nzherald.co.nz,25
chicagotribune.com,newsobserver.com,25
businessinsider.com,businessinsider.in,25
beaumontenterprise.com,mynorthwest.com,25
kxxv.com,princegeorgecitizen.com,25
morganton.com,newsadvance.com,25
kxxv.com,standard-journal.com,25
kxxv.com,lufkindailynews.com,25
fox23.com,mychamplainvalley.com,25
ivpressonline.com,newsadvance.com,25
wisconsinrapidstribune.com,wltx.com,25
ijpr.org,northcountrypublicradio.org,25
morungexpress.com,prokerala.com,25
sfchronicle.com,sfgate.com,25
kxxv.com,mdjonline.com,25
kxxv.com,theindependent.com,25
daytondailynews.com,palmbeachpost.com,24
mytwintiers.com,nzherald.co.nz,24
5newsonline.com,ktbs.com,24
1045thefox.com,abc15.com,24
princegeorgecitizen.com,readingeagle.com,24
africaleader.com,sierraleonetimes.com,24
news12.com,standard-journal.com,24
morganton.com,tucson.com,24
baynews9.com,mdjonline.com,24
nzherald.co.nz,thetandd.com,24
beaumontenterprise.com,standard-journal.com,24
cbn.com,turnto10.com,24
daytondailynews.com,mychamplainvalley.com,24
mychamplainvalley.com,onenewsnow.com,24
kxan.com,palmbeachpost.com,24
mychamplainvalley.com,palmbeachpost.com,24
daytondailynews.com,wnct.com,24
