GLOBALEVENTID,MentionSourceName,Confidence,MentionDocTone
735662635,ourmidland.com,40,-4.78927203065134
735662635,philly.com,40,-3.63836824696803
735662635,philly.com,40,-3.98706896551724
735662635,qconline.com,40,-3.57894736842105
735662635,qconline.com,40,-4.59558823529412
735662635,record-eagle.com,40,-3.28042328042328
735662635,record-eagle.com,40,-3.41261633919339
735662635,record-eagle.com,40,-4.27046263345196
735662635,record-eagle.com,40,-4.27807486631016
735662635,registercitizen.com,40,-4.78927203065134
735662635,roanoke.com,40,-4.18848167539267
735662635,scnow.com,40,-4.59558823529412
735662635,seattletimes.com,10,-4.58715596330275
735662635,sfgate.com,40,-4.78927203065134
735662635,siouxcityjournal.com,40,-4.59558823529412
735662635,stamfordadvocate.com,40,-4.78927203065134
735662635,startribune.com,40,-4.61254612546126
735662635,stltoday.com,40,-4.7438330170778
735662635,stripes.com,40,-3.55951056729699
735662635,stripes.com,40,-3.60082304526749
735662635,tbo.com,40,-4.69924812030075
735662635,thedailytimes.com,40,-3.44827586206897
735662635,thedailytimes.com,40,-4.58715596330275
735662635,thehour.com,40,-4.78927203065134
735662635,theindependent.com,40,-4.59558823529412
735662635,theolympian.com,40,-3.40285400658617
735662635,timesunion.com,40,-4.78927203065134
735662635,tri-cityherald.com,40,-4.36363636363636
735662635,tucson.com,40,-4.57875457875458
735662635,wacotrib.com,40,-4.58715596330275
735662635,waff.com,40,-3.43406593406593
735662635,waff.com,40,-3.71428571428571
735662635,wandtv.com,40,-3.43406593406593
735662635,washingtonpost.com,40,-3.52564102564103
735662635,wben.com,40,-3.71549893842887
735662635,wbrc.com,40,-3.69843527738265
735662635,wbt.com,40,-3.71549893842887
735662635,wbt.com,40,-4.68164794007491
735662635,westport-news.com,40,-4.78927203065134
735662635,wfmz.com,40,-4.15973377703827
735662635,wfmz.com,40,-4.16666666666667
735662635,wral.com,40,-4.68164794007491
735662635,wtop.com,40,-3.57142857142857
735662635,wvnews.com,40,-4.42477876106195
735662635,wvnews.com,40,-4.49640287769784
